cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cluster_idx
22,548,136,46,77,66,162,173,72,262,25
371,483,421,98,495,112,414,303,73,111,99
195,197,372,190,90,102,222,317,233,400,94
168,392,203,36,80,16,528,274,138,148,95
129,247,208,138,310,68,202,303,156,257,79
430,232,474,22,449,101,487,137,75,146,77
260,496,390,174,221,105,272,120,28,246,68
284,536,546,205,243,23,513,300,272,177,40
203,364,450,249,112,73,274,85,189,250,41
294,349,468,190,96,100,63,503,136,232,52
294,349,468,190,145,100,63,503,146,172,52
52,58,0,59,395,43,409,372,279,356,90
22,548,136,175,77,66,221,173,283,262,25
54,258,485,49,172,90,339,291,26,178,72
383,58,0,59,287,42,409,372,279,356,90
349,496,390,174,221,106,272,120,28,246,68
39,321,353,191,152,94,333,490,133,100,33
213,612,269,90,170,33,308,136,175,317,38
282,342,67,199,319,106,579,0,155,85,7
191,421,521,3,319,30,550,387,182,124,4
282,342,67,199,374,106,545,279,155,85,7
430,91,474,22,449,101,487,554,75,2,77
331,801,471,15,374,52,20,136,146,50,76
39,321,353,191,416,54,333,490,133,100,33
79,778,522,197,33,40,380,532,240,287,60
261,331,480,179,272,18,37,101,116,56,87
51,465,115,28,257,83,400,449,30,96,18
152,191,367,185,348,94,67,611,105,385,19
75,813,233,153,325,52,229,319,136,200,67
299,495,203,21,219,114,452,351,219,80,50
75,753,488,7,348,24,258,393,137,47,28
438,750,109,252,224,73,421,251,179,337,35
43,149,385,33,442,23,547,485,222,179,32
199,412,341,166,322,90,394,245,219,113,82
152,191,367,185,66,94,67,611,105,385,19
191,421,521,3,319,30,83,387,182,124,4
150,388,473,239,93,115,361,377,41,154,5
237,840,274,118,33,6,576,492,155,420,13
9,726,209,133,418,64,145,574,72,390,71
316,559,63,6,27,16,525,92,293,166,30
389,27,525,228,209,42,89,445,285,301,74
230,707,522,77,216,111,101,557,237,377,34
51,465,115,28,475,107,400,449,30,96,18
2,380,80,189,394,34,283,533,81,377,98
299,351,495,8,377,35,512,320,266,69,75
371,483,421,98,495,71,414,499,73,13,99
8,138,558,189,494,44,308,210,174,31,10
389,27,525,160,209,42,263,445,285,343,74
383,58,0,59,489,42,409,372,279,356,90
150,388,416,122,392,115,361,377,41,154,5
75,753,488,48,344,24,258,393,137,47,28
213,612,269,90,170,33,308,163,175,31,38
59,364,155,249,112,73,274,158,189,134,41
168,648,2,112,182,94,404,571,135,325,97
419,735,590,162,134,103,170,194,11,95,66
430,199,474,22,449,101,487,554,75,146,77
9,603,209,133,26,64,145,574,72,390,71
51,465,115,28,257,51,400,449,30,80,18
404,377,355,64,18,9,243,10,139,267,24
299,351,495,8,377,83,512,320,266,276,75
84,609,19,209,199,87,156,123,227,225,0
371,3,421,98,495,71,414,499,73,101,99
349,496,390,174,221,105,395,120,28,246,68
91,774,15,218,244,76,522,373,71,402,54
64,90,330,10,337,70,235,453,164,246,3
407,109,58,31,387,39,205,37,121,78,47
122,66,476,202,491,38,390,333,221,193,63
39,321,353,191,152,55,333,490,133,100,33
56,149,385,33,442,57,547,485,252,179,32
150,388,416,104,433,115,361,377,163,154,5
311,27,525,228,209,42,263,445,285,377,74
299,351,495,8,45,83,573,320,266,69,75
141,481,219,121,395,78,424,165,247,103,26
141,574,293,70,388,25,47,398,122,26,45
145,571,24,152,243,7,286,610,18,377,49
25,635,452,214,181,101,565,537,121,380,9
383,823,0,59,395,42,409,372,279,356,90
59,364,450,249,112,73,274,85,189,134,41
191,421,521,117,319,30,83,387,267,124,4
351,775,503,143,0,83,460,517,142,29,64
102,635,523,214,181,101,565,537,121,380,9
168,392,537,36,80,16,528,194,167,148,95
370,444,164,84,152,92,464,355,86,306,17
237,840,389,118,161,6,576,346,155,420,13
386,364,181,73,125,66,155,447,251,287,1
168,648,2,112,182,59,404,571,178,325,97
399,36,67,199,319,106,545,111,155,85,7
54,258,381,49,172,90,339,291,26,212,72
349,496,390,241,221,105,272,120,28,246,68
384,330,323,242,324,67,148,582,121,151,57
28,115,17,181,115,0,42,509,201,94,56
351,775,290,143,0,115,269,517,142,29,64
371,483,419,98,495,43,414,499,73,111,99
144,774,420,198,202,88,524,513,232,336,48
22,548,136,46,77,66,162,193,6,262,25
84,609,153,209,316,87,156,580,227,225,0
115,90,330,10,337,11,235,453,2,246,3
152,191,367,185,66,94,67,611,105,75,19
436,92,46,140,316,78,460,634,198,113,31
141,481,42,121,395,78,424,165,92,103,26
342,90,330,10,337,11,235,453,152,246,3
169,680,267,134,418,37,262,285,276,301,22
102,197,372,211,90,102,222,317,233,403,94
191,421,521,3,319,30,83,387,182,292,4
284,492,487,205,243,23,513,300,28,177,40
434,707,13,77,216,111,101,557,237,123,34
294,118,468,190,145,100,63,503,136,172,52
213,612,269,90,170,101,308,163,175,20,38
25,86,523,214,181,91,565,537,121,380,9
282,624,80,29,276,6,363,123,119,32,73
328,469,80,189,409,34,283,533,144,377,98
168,648,2,70,182,94,404,571,178,325,97
383,58,64,59,395,42,409,372,279,356,90
39,321,353,191,152,54,333,490,133,182,33
303,101,141,18,400,52,330,214,77,183,14
270,686,236,243,423,14,345,130,96,7,8
30,546,123,37,426,49,34,604,219,316,58
141,574,293,70,388,25,47,300,81,26,45
39,321,353,191,404,54,333,543,133,100,33
430,204,474,22,449,101,487,554,75,146,77
283,465,303,117,268,65,494,430,223,253,83
371,483,421,98,495,71,414,118,73,111,99
168,648,2,112,116,94,404,571,178,245,97
294,349,468,190,145,100,63,646,136,172,52
416,432,392,140,264,74,487,149,12,286,39
389,27,525,228,209,42,130,445,285,343,74
370,299,28,105,97,98,253,91,71,76,46
388,432,392,140,45,48,487,149,12,286,39
446,171,480,94,88,43,551,550,190,91,85
438,750,527,252,224,73,425,251,205,337,35
349,496,390,174,221,105,31,120,28,246,68
347,465,303,29,268,65,494,430,223,253,83
282,342,67,199,80,106,545,233,155,85,7
299,351,495,8,139,83,512,320,266,69,75
141,574,293,230,388,25,47,30,122,304,45
291,156,140,6,296,35,195,414,9,31,70
349,213,390,174,221,105,272,439,28,246,68
46,801,471,15,425,7,20,136,146,50,76
436,92,46,140,316,78,460,94,198,299,31
195,197,372,190,90,21,222,75,233,403,94
322,530,500,12,487,72,187,119,146,313,91
22,548,136,46,77,111,162,173,283,262,25
445,87,330,10,337,11,235,453,164,246,3
84,609,467,209,199,87,156,422,227,225,0
416,106,392,140,264,48,487,149,12,286,39
287,330,323,239,324,67,171,582,121,398,57
438,750,109,252,224,73,425,251,157,89,35
237,840,389,118,490,38,576,492,155,420,13
91,773,391,138,355,41,419,64,60,355,61
54,258,491,49,172,90,339,291,26,201,72
438,750,109,252,224,73,425,438,157,337,35
416,432,392,140,264,48,487,82,12,286,39
150,388,401,104,258,115,361,377,41,154,5
141,481,219,121,395,45,424,165,75,103,26
28,115,17,181,447,0,233,509,59,94,56
9,361,209,133,418,64,145,574,72,223,71
10,657,170,137,14,11,41,541,184,250,42
9,603,209,133,418,64,246,574,72,390,71
191,421,521,3,319,30,83,548,182,124,4
28,115,17,181,115,0,65,509,59,94,56
328,469,80,189,394,34,283,533,54,171,98
161,171,480,252,88,43,327,550,190,91,85
88,448,483,119,62,33,274,204,289,134,23
152,335,367,185,66,94,67,611,105,385,19
365,36,274,131,360,10,560,115,167,113,6
349,707,235,77,216,111,101,557,85,123,34
389,27,525,228,265,114,263,445,285,343,74
152,191,367,185,66,94,67,611,105,387,19
85,635,523,53,181,101,565,537,121,380,9
370,664,28,105,373,98,253,91,71,76,46
51,465,409,28,257,92,400,449,30,96,18
446,171,480,252,88,108,551,306,190,91,85
299,351,187,8,377,83,37,320,266,69,75
168,392,537,36,164,16,528,274,167,148,95
331,801,471,15,311,7,320,136,146,50,76
224,195,178,11,273,45,16,626,123,384,21
168,648,2,81,182,111,404,571,178,325,97
287,330,323,239,324,67,148,215,121,151,57
294,349,468,190,145,100,3,503,136,241,52
60,411,17,131,51,57,462,336,227,232,62
419,735,590,162,134,58,170,194,11,95,66
365,36,274,131,214,10,560,258,167,267,6
213,612,370,90,170,33,241,163,175,20,38
371,483,421,98,495,71,296,357,73,111,99
416,606,392,140,264,48,487,149,12,286,39
9,603,66,133,418,64,145,574,120,390,71
145,571,24,215,243,102,286,610,18,377,49
320,775,135,115,304,19,424,144,209,312,15
430,232,474,22,449,101,192,554,108,146,77
56,149,385,33,442,66,572,485,252,179,32
370,444,164,53,64,92,464,25,86,167,17
340,58,0,109,395,42,409,372,279,356,90
284,492,546,112,243,23,382,300,28,177,40
162,321,353,191,152,21,333,490,133,100,33
28,115,17,181,115,0,76,137,59,209,56
371,483,421,129,495,71,128,499,73,111,99
51,465,115,28,257,107,400,454,30,96,18
371,483,421,162,495,71,414,499,73,171,99
446,485,480,252,88,43,551,362,190,91,85
141,481,219,43,395,78,424,165,75,103,26
59,364,450,249,112,73,152,85,189,134,41
105,753,488,7,344,24,297,393,137,47,28
416,432,392,208,264,48,487,149,12,286,39
152,395,367,185,66,94,67,654,105,385,19
57,342,67,199,319,106,545,111,117,85,7
284,492,546,205,243,23,513,300,28,177,40
152,191,367,48,66,94,67,611,105,385,19
291,156,68,6,296,31,195,414,9,31,70
370,444,164,53,73,92,464,355,86,306,17
41,231,42,225,124,80,241,131,97,238,37
446,171,480,252,88,43,551,550,190,103,85
79,183,506,197,33,40,113,532,240,287,60
446,171,480,252,88,43,551,550,190,91,85
211,351,495,8,377,83,512,320,266,69,75
430,232,474,22,52,101,487,554,75,146,77
64,805,330,10,337,11,235,453,244,246,3
370,444,581,53,64,0,464,355,86,306,17
168,392,537,36,80,16,528,102,167,148,95
426,661,58,31,387,39,205,37,126,78,47
438,750,109,252,224,33,425,251,40,337,35
349,496,390,174,221,105,416,120,28,200,68
294,349,468,190,145,100,63,503,136,294,52
79,778,522,197,33,40,113,537,240,237,60
82,642,424,12,337,16,468,256,253,98,86
25,635,143,112,181,101,565,537,121,380,9
341,503,292,8,491,25,165,299,79,295,36
64,90,338,10,337,11,235,453,164,246,3
371,483,421,41,495,71,414,499,73,111,99
291,156,68,6,296,31,195,414,9,250,70
179,559,548,189,49,115,178,411,230,244,89
407,67,495,202,283,77,424,192,217,73,65
416,432,392,140,264,110,487,149,12,286,39
323,395,178,11,273,45,49,626,123,212,21
28,115,509,80,115,0,76,509,59,94,56
84,609,220,209,199,87,156,580,227,366,0
328,491,80,189,394,34,283,533,81,377,98
64,90,330,10,337,85,235,453,164,246,3
430,232,474,22,449,92,487,554,75,146,77
196,548,136,46,77,66,162,173,108,262,25
49,432,434,140,264,48,487,149,12,286,39
59,364,450,249,112,73,274,247,189,134,41
416,432,392,140,264,48,487,149,12,253,39
141,231,42,225,124,80,241,537,97,238,37
50,92,46,140,316,78,460,634,198,113,31
320,775,458,120,304,19,544,144,209,312,15
84,609,511,209,199,87,156,580,227,225,0
406,174,55,93,82,69,273,64,33,8,51
300,66,122,202,491,38,390,293,221,193,63
195,197,372,190,261,102,222,317,233,403,94
122,66,569,202,491,38,390,333,221,193,63
79,778,522,197,33,40,113,532,240,52,60
182,481,219,121,395,78,424,165,211,103,26
349,496,390,17,221,105,272,120,28,246,68
407,661,67,31,387,39,262,37,126,78,47
331,645,471,15,311,7,20,136,33,50,76
64,90,330,10,337,11,235,453,164,246,3
237,840,389,118,20,6,576,492,155,420,13
386,364,447,73,125,66,155,115,265,287,1
56,149,385,33,442,23,547,485,252,179,32
140,247,208,138,310,68,117,303,156,73,79
70,775,507,29,304,19,424,144,209,312,15
371,483,421,98,495,71,206,499,139,111,99
18,191,364,185,66,94,67,611,105,385,19
30,842,2,164,426,49,34,604,219,316,58
168,494,537,36,456,16,528,274,167,148,95
217,501,9,193,447,29,570,612,151,278,11
371,483,487,98,316,71,414,499,73,111,99
438,750,109,252,224,73,425,251,157,393,35
321,342,67,199,319,106,545,111,155,69,7
141,574,3,70,388,25,47,30,122,26,45
331,801,471,15,311,40,20,136,146,50,76
371,483,421,98,7,71,414,499,73,111,99
279,482,37,24,211,46,239,143,271,312,55
282,342,67,199,172,106,545,111,155,359,7
436,92,46,140,316,78,460,634,197,113,31
430,232,474,22,449,101,487,554,75,91,77
168,392,537,36,80,16,528,274,109,148,95
383,58,0,59,395,58,230,372,279,356,90
363,381,521,3,319,30,83,387,182,124,4
430,475,474,22,449,101,487,118,75,146,77
282,342,67,199,319,25,545,111,155,85,7
299,69,495,8,377,83,512,320,266,207,75
75,813,233,153,380,52,229,319,136,200,67
139,392,537,36,493,16,528,274,167,148,95
25,635,523,214,181,101,565,416,121,380,9
82,642,455,12,337,16,468,256,177,98,86
144,74,420,157,202,88,524,513,57,336,48
213,612,269,90,348,33,308,163,175,20,38
39,131,353,191,152,54,333,490,133,100,33
294,349,468,51,145,100,63,355,136,172,52
54,258,167,49,172,64,339,291,26,201,72
56,149,337,33,442,23,547,485,252,260,32
12,707,522,77,480,111,101,557,237,123,34
283,465,303,29,268,20,494,430,223,80,83
328,469,266,189,394,34,283,533,81,96,98
172,801,24,15,311,7,20,136,146,50,76
331,801,471,15,311,85,20,136,146,50,76
237,240,389,118,33,6,387,492,155,420,13
213,612,269,90,170,33,272,163,175,20,38
294,349,468,190,230,100,63,503,72,172,52
213,612,205,90,170,33,308,163,222,20,38
237,840,389,148,47,6,576,492,155,420,13
438,750,109,252,224,91,425,251,157,337,35
203,388,416,104,93,115,361,377,41,154,5
383,58,0,83,395,42,409,372,279,356,90
122,66,122,202,491,38,390,334,276,193,63
59,224,450,249,112,73,274,85,189,36,41
222,79,2,112,182,94,404,571,178,325,97
322,745,500,12,487,72,187,580,146,313,91
383,58,0,59,395,42,409,372,279,153,90
336,331,480,179,272,18,37,629,116,56,87
328,469,80,189,394,34,283,533,81,139,98
41,231,42,225,124,80,507,537,97,238,37
416,432,392,140,354,48,487,149,12,286,39
407,500,58,100,387,39,205,37,126,78,47
166,771,291,125,482,33,440,438,2,279,44
141,574,293,70,388,25,47,337,122,26,45
15,411,17,193,139,57,462,336,227,232,62
